timestamp,threshold_data,dataset,test_site,threshold,accuracy,precision,f1_score,f2_score,balanced_accuracy,roc_auc,log_loss,good_acceptance_rate,extra_interviews_rate,recall,specificity
2025-06-18T14:19:55.179696,0.6,../../Data/dataNew_2.csv,0.4,0.39,0.8151815181518152,0.05357142857142857,0.0967741935483871,0.1875,0.6607744107744108,0.6088664421997756,0.39717690775434294,50.0,94.64285714285714,0.5,
2025-06-18T14:37:47.998047,0.1,../../Data/dataNew_3.csv,0.4,0.6,0.19471947194719472,0.1893687707641196,0.31843575418994413,0.5387523629489603,0.5040650406504065,0.5449293966623876,0.9311933307388108,100.0,81.06312292358804,1.0,
2025-06-18T14:56:01.990886,0.3,../../Data/dataNew_4.csv,0.4,0.4,0.429042904290429,0.22272727272727272,0.36162361623616235,0.5778301886792453,0.6411064425770309,0.6852629940865235,0.6843952713329976,96.07843137254902,77.72727272727272,0.9607843137254902,
2025-06-18T15:08:02.930610,0.6,../../Data/dataNew.csv,0.4,0.39,0.8151815181518152,0.05357142857142857,0.0967741935483871,0.1875,0.6607744107744108,0.6088664421997756,0.39717690775434294,50.0,94.64285714285714,0.5,82.15488215488216
2025-06-18T15:16:16.621044,0.3,../../Data/dataNew_4.csv,0.4,0.4,0.429042904290429,0.22272727272727272,0.9607843137254902,0.36162361623616235,0.5778301886792453,0.6411064425770309,0.6852629940865235,0.6843952713329976,96.07843137254902,77.72727272727272,32.142857142857146
2025-06-18T15:30:39.143469,0.3,../../Data/dataset_rec.csv,0.4,0.53,0.8448844884488449,0.8374558303886925,0.9957983193277311,0.9097888675623801,0.9595141700404858,0.6440530058177117,0.95830639948287,0.3373670848417838,99.57983193277312,16.25441696113074,0.2923076923076923
2025-06-18T15:31:11.019021,0.1,../../Data/dataset_rec.csv,0.4,0.09,0.9900990099009901,0.9899328859060402,1.0,0.9949409780775716,0.9979702300405954,0.8125,0.9978813559322034,0.0364332136729832,100.0,1.006711409395973,0.625
2025-06-18T15:31:18.923458,0.6,../../Data/dataset_rec.csv,0.4,0.52,0.8811881188118812,0.5070422535211268,0.972972972972973,0.6666666666666666,0.821917808219178,0.920697012802276,0.9759703312334891,0.36196274245474414,97.2972972972973,49.29577464788733,0.868421052631579
2025-06-18T15:37:09.239035,0.3,../../Data/dataNew.csv,0.4,0.49,0.6534653465346535,0.12612612612612611,0.6363636363636364,0.21052631578947367,0.35175879396984927,0.6455839534131349,0.5849239728243286,0.6218088017234151,63.63636363636363,87.38738738738738,0.6548042704626335
2025-06-18T16:12:28.915184,0.1,../../Data/dataNew.csv,0.4,0.16,0.2706270627062706,0.20503597122302158,1.0,0.3402985074626866,0.5632411067193676,0.5508130081300813,0.6654186278704892,0.659957702944805,100.0,79.49640287769785,0.1016260162601626
